team,average_age,possession,goals,assists,xG
Arsenal,25.7,59.8,71,50,61.3
Aston Villa,27.6,54.7,63,46,54.9
Bournemouth,26.5,45.2,44,33,45.4
Brentford,27.4,43.9,44,29,50.3
Brighton,26.7,61.5,47,35,47.6
Burnley,25.2,46.8,31,24,31.8
Chelsea,25,58.8,54,37,57.7
Crystal Palace,27.7,41.5,36,27,35.5
Everton,27.6,40.5,32,14,45.7
Fulham,29.2,51.5,46,34,43.2
Liverpool,27,60.7,68,52,70.7
Luton Town,27.5,42.3,42,30,37.6
Manchester City,27.3,65.6,70,51,62.9
Manchester Utd,27,49.8,45,30,46
Newcastle Utd,28,52.6,64,41,58.5
Nott'ham Forest,26.4,40.5,40,35,40.5
Sheffield Utd,26.6,34.7,26,15,29
Tottenham,25.9,61.2,60,51,54.6
West Ham,28.9,41.2,51,36,45.1
Wolves,27.4,48.4,41,33,41.4
